Label	TTR Ratio	Avg Stop Words	Avg Sent Len	contentToNonPOS	Noun	Verb	adjNoun
1	0.668571429	0.708571429	20	1.746772727	6.703333333	3.486666667	0.809444444
0	0.910958904	0.97260274	14.8	3.934844829	6.300675676	3.611486486	0.271283784
0	1	0.9	19	1.714285714	5	6	0
0	1	0.333333333	4	3	1	1	0
1	1	1.142857143	24	7.337301587	13.5	3.833333333	0.958333333
0	1	1.157894737	13.66666667	1.338414634	3.536585366	1.707317073	0
1	0.928571429	0.642857143	11.75	3.565602837	5.70212766	1.723404255	0.489361702
1	0.833333333	0.80952381	15.2	2.427462888	5.052631579	3.657894737	0.438596491
1	0.868421053	0.697368421	18.85714286	11.04890572	6.492424242	2.734848485	0.588888889
1	0.737931034	0.937931034	28.6	5.299344966	10.72727273	6.531468531	0.446678322
1	0.69379845	0.76744186	30.53333333	1.79014135	12.75327511	5.074235808	0.479002911
0	0.899521531	1.004784689	21.4	1.78865068	8.401869159	6.5	0.410202492
0	0.96	1	54	1.882352941	19	7	1
1	1	0.666666667	15	1.6	5	3	0
0	1	0.944444444	18	1.920634921	5.777777778	2.333333333	1
1	0.956521739	0.869565217	14.33333333	1.409745293	3.534883721	3	0.76744186
1	0.857142857	0.6	14.25	1.961695906	5.456140351	2	0.736842105
1	0.828571429	0.771428571	25.4	2.071714047	7.897637795	4.874015748	0.38976378
0	0.983606557	0.918032787	18	2.072373394	6.261904762	4.079365079	0.261904762
1	0.862068966	0.663793103	19.5	2.24519425	7.907692308	3.769230769	0.707094017
1	0.768888889	0.737777778	26.4	2.131900766	10.72222222	5.007575758	0.773569024
0	0.869918699	1.162601626	14.1	3.899305556	4.723404255	4.854609929	0.328014184
1	0.928571429	0.928571429	30	1.363636364	10	4	0
1	1	1	6	1	1	1	1
1	1	1	19	2.273684211	5.263157895	4.526315789	1
0	1	0.904761905	13.33333333	5.09	9.175	6.3	0.9
0	1	0.428571429	5.25	3.023809524	2.904761905	1.095238095	0.523809524
0	0.972222222	1	15	1.830984127	3.866666667	2	0.496666667
0	1	1.068965517	9.285714286	2.028321678	4.015384615	1.8	0.176923077
0	0.948275862	0.982758621	12.1	2.857988981	5.685950413	2.925619835	0.462809917
1	0.782608696	0.757763975	19.06666667	2.029711955	6.58041958	3.321678322	0.564102564
1	0.780487805	0.712195122	18.2	6.553393729	6.656593407	3.123626374	0.546611722
0	1	0.714285714	12	1.4	3	2	1
1	0.818181818	1.272727273	27	1.888888889	8	4	0.666666667
1	0.972222222	1	37.5	1.484126984	15.73333333	4.733333333	0.853333333
0	1	0.863636364	13.66666667	1.567073171	4.414634146	3.658536585	0.317073171
0	1	0.923076923	12.75	2.603921569	8.490196078	3.156862745	0.078431373
0	1	1.260869565	11.6	4.436206897	2.982758621	5.793103448	0
1	0.864583333	0.78125	25.14285714	3.378314394	8.892045455	4.823863636	0.565340909
0	0.946902655	0.902654867	22.1	2.225634741	7.900452489	7.85520362	0.53280543
1	0.833333333	0.928571429	22.46666667	4.693639752	9.34421365	5.056379822	0.565281899
0	0.9453125	0.984375	13.15	2.115147379	5.425855513	4.034220532	0.28643853
1	1	0.416666667	17	1.833333333	8	1	0.5
0	1	1.833333333	17	1.142857143	4	4	0
0	1	1.25	4.5	2.166666667	0.444444444	1.111111111	0.444444444
0	1	0.8	3.333333333	1.55	0.3	0.7	0
0	0.9375	1.09375	18.25	1.742631797	5.328767123	2.438356164	0.376712329
1	0.780487805	0.536585366	25.8	3.078312192	8.666666667	5.728682171	0.507751938
0	0.950819672	0.672131148	16	2.071626984	6.142857143	2.589285714	0.642857143
0	0.985915493	0.971830986	14	2.839146568	7.128571429	4.778571429	0.444047619
0	0.965517241	1.287356322	13.93333333	9.12627294	8.502392344	4.976076555	0.302631579
0	0.97037037	0.948148148	13.75	5.331056277	4.901818182	3.796363636	0.350606061
0	1	0.166666667	7	5	2	1	0
0	1	0	2	152	1	0	1
0	1	1.277777778	21.5	1.43470483	3.581395349	6.744186047	0.395348837
1	0.916666667	1.333333333	9.666666667	1.381609195	2.965517241	1.482758621	0
0	0.965517241	1.24137931	17	1.061805841	4.279411765	3.044117647	0.397058824
0	1	1.222222222	13.8	1.627743271	3.043478261	4.362318841	0.260869565
0	0.922222222	1.011111111	26.57142857	2.223822325	9.612903226	9.510752688	0.279569892
0	0.929824561	1.105263158	12.3	3.524390244	4.056910569	2.634146341	0.528455285
0	0.962962963	1.111111111	15.86666667	6.411726009	6.899159664	4.256302521	0.46512605
0	0.964285714	1.321428571	10.25	4.810181959	2.424390244	3.873170732	0.326829268
0	1	0.75	9	1.666666667	3	1	0
0	1	1.666666667	17	1.666666667	3	7	0
0	1	0.5	3	26.58333333	0.833333333	0.166666667	0.416666667
0	1	1.096774194	23.33333333	2.271428571	6.314285714	8.714285714	0.642857143
0	1	1.16	13.75	1.596363636	6.109090909	2.4	0.23030303
0	0.95	1.025	16.6	1.48327118	4.518072289	4.542168675	0.831325301
1	0.771929825	0.877192982	15.57142857	3.3127421	7	4.064220183	0.201834862
1	0.888888889	0.838383838	18.4	1.722730018	6.554347826	2.869565217	0.765851449
0	0.967741935	1.258064516	9.6	4.099503968	2.875	2.819444444	0.1875
0	0.880382775	1.14354067	23.3	2.648468333	13.58583691	11.13519313	0.509537434
0	1	0.933333333	30	1.545454545	5	7	0.666666667
0	1	0.857142857	13	2.333333333	2	3	0
0	1	1.083333333	14.5	11.7862069	6.517241379	4.655172414	0.931034483
0	0.978723404	1.127659574	34	1.768951044	9.392156863	7.176470588	0.151960784
1	0.888888889	0.8	20.25	1.761640212	6.864197531	3.12345679	0.840534979
1	0.788732394	1.014084507	29.8	1.646623018	9.389261745	4.053691275	0.308724832
1	0.811764706	0.647058824	20.28571429	2.16314554	9.394366197	3.098591549	0.452464789
1	0.809917355	0.611570248	19.6	9.949373472	8.178571429	3.051020408	0.648809524
0	0.950276243	1.038674033	26.06666667	1.711213079	8.797953964	6.10230179	0.586700767
0	0.898876404	1.011235955	9.25	3.062012012	3.405405405	2.735135135	0.251351351
0	1	0.857142857	13	1.75	3	2	1
0	1	0.5	5	3	0	2	0
1	1	0.909090909	31.5	1.772435897	7.333333333	6.333333333	0.622222222
1	0.888888889	1.111111111	19.66666667	1.383171913	5.694915254	2.779661017	0.389830508
1	0.830769231	0.784615385	30.5	1.936738125	10.09836066	5.704918033	0.845901639
1	0.876923077	0.784615385	23.8	2.503374077	9.058823529	5.100840336	0.777310924
1	0.844827586	0.793103448	14.85714286	1.615270147	5.759615385	1.730769231	0.528846154
1	0.850393701	0.755905512	23.3	2.163686218	8.497854077	4.875536481	0.495708155
1	0.782051282	0.820512821	19.13333333	1.966453045	7.825783972	4.341463415	0.509291521
0	0.938888889	1.127777778	20.05	3.132254723	10.80299252	7.835411471	0.520425128
1	0.967741935	0.870967742	61	1.115384615	14	6	0.25
0	1	0.857142857	14	1.333333333	4	2	1
1	0.952380952	0.857142857	20	1.842857143	6	4.1	0.45
1	1	0.636363636	6	10.02222222	4.888888889	1.722222222	0
0	1	1.285714286	8.75	1.937142857	3.628571429	1.314285714	0
0	1	1.04	10.8	9.83127572	3.574074074	3.962962963	0.154320988
0	1	0.842105263	10.85714286	7.200438596	4.131578947	2.921052632	0.223684211
1	0.833333333	1.106060606	14.4	9.999082341	4.6875	3.152777778	0.388888889
1	0.714285714	0.769230769	22.2	2.910903761	7.702702703	4.261261261	0.633958959
0	0.920529801	1.059602649	16.15	2.270631888	6.817337461	5.66873065	0.374509804
0	1	0.75	21	2.333333333	9	3	1
1	1	0.888888889	19	1.571428571	6	2	0.5
1	0.931034483	0.896551724	29.5	1.731895223	8.491525424	3.491525424	0.502824859
1	1	1.052631579	13	2.329059829	3.179487179	3.205128205	0
1	0.941176471	1.264705882	19.25	1.473665224	3.844155844	4.25974026	0.402597403
1	0.837209302	0.790697674	16.2	14.78218695	6.950617284	3.555555556	0.20781893
1	0.8	0.769230769	16.71428571	1.85546398	5.803418803	2.914529915	0.581908832
1	0.756302521	0.554621849	19	2.478489975	7.521052632	3.305263158	0.707894737
1	0.754189944	0.82122905	22.06666667	3.512576145	7.498489426	4.918429003	0.657703927
1	0.828947368	0.828947368	21.2	2.290882375	8.283018868	4.799528302	0.566486972
1	1	1	10	3.5	3	2	1
1	1	1.272727273	27	1.181818182	9	3	1
1	1	0.9	19.5	1.737179487	5.948717949	2.564102564	0.564102564
1	0.875	1	6.333333333	1.947368421	2.789473684	0.421052632	0.657894737
1	0.848484848	0.696969697	14.5	1.501436782	4.086206897	1.965517241	0.551724138
1	0.773584906	1.075471698	22.8	2.12967734	7.385964912	4.421052632	0.798245614
1	0.909090909	0.981818182	16.28571429	2.093817878	5.035087719	3.245614035	0.388888889
1	0.831578947	1	19.3	3.862737478	6.865284974	3.658031088	0.460276339
0	0.93442623	1.240437158	28.26666667	1.567661757	10.60849057	8.224056604	0.584316038
0	0.923076923	0.887573964	16.5	5.016732342	8.951515152	5.603030303	0.374242424
1	0.944444444	0.666666667	32	2.625	14	4	1
1	0.95	1.05	42	1.533333333	15	6	0
0	0.973684211	0.631578947	32	3.276041667	12.828125	4.453125	0
1	0.833333333	0.566666667	15.66666667	2.234042553	5.808510638	2.574468085	0.226950355
1	0.897435897	0.948717949	20.5	2.069105691	5.158536585	4.634146341	0.280487805
1	0.802816901	0.704225352	24.2	2.022933884	11.52892562	5.008264463	0.578512397
0	0.94	1.36	17.71428571	1.265301902	4.451612903	6.379032258	0.10483871
0	0.97752809	0.966292135	18.5	3.366672854	6.989189189	4.740540541	0.55045045
0	0.947058824	0.935294118	23	1.892587075	8.886956522	6.08115942	0.575458937
1	0.647058824	0.936651584	22.5	2.604462759	9.815555556	4.571111111	0.377222222
1	1	0.928571429	29	3.6	9	3	0.8
1	1	0.666666667	27	2.125	10	4	1
0	1	1.238095238	24	2.500694444	8.979166667	8.541666667	0.430555556
0	0.96	1.2	18.33333333	2.423636364	5.072727273	3.036363636	0.636363636
0	0.984615385	0.830769231	32	10.58203125	23.171875	20.40625	0.574776786
0	1	0.903225806	12	21.72277778	6.716666667	8.166666667	0.341666667
1	0.753731343	0.970149254	38.57142857	2.245754986	12.82222222	8.733333333	0.231111111
1	0.740506329	1.056962025	33.4	2.931266768	11.64371257	8.224550898	0.52754491
1	0.808510638	0.781914894	22.66666667	5.036419234	7.876470588	4.097058824	0.680147059
1	0.724137931	0.887931034	22.85	4.585921567	9.067833698	5.240700219	0.597921225
1	1	0.833333333	11	2.333333333	3	2	1
1	1	0.7	36	3.285714286	8	8	0.5
1	1	1.269230769	29.5	1	7.305084746	4.661016949	0.669491525
0	0.926829268	0.804878049	25.33333333	1.2	6.473684211	6.631578947	0.526315789
0	0.953488372	0.930232558	23	1.560981458	7.75	4.445652174	0.52173913
0	1	1.037037037	11.6	1.838423645	3.103448276	3.327586207	0.465517241
0	0.943820225	1.078651685	26.85714286	3.187111468	17.95744681	9.60106383	0.707890071
0	0.968253968	0.888888889	13	4.130885781	5.184615385	2.769230769	0.412820513
0	0.93220339	0.881355932	15.06666667	3.105355117	10.5840708	4.455752212	0.626843658
1	0.807692308	0.91025641	15.3	4.649743231	7.029411765	2.790849673	0.543572985
0	1	0	2	152	0	1	0
0	0.958333333	1.125	54	1.5	12	12	0.666666667
0	1	0.222222222	5.5	110.6818182	3.181818182	2.181818182	0.727272727
0	0.980392157	1.117647059	38	8.177944862	17.1754386	10.20175439	0.494987469
0	0.976744186	0.976744186	22.25	2.073317444	10.03370787	6.303370787	0.494382022
1	0.826923077	0.557692308	16.8	3.082738095	8.666666667	2.714285714	0.660714286
1	0.831325301	0.722891566	21.28571429	2.099305616	6.899328859	3.604026846	0.646532438
0	0.962264151	1.452830189	13	4.854881657	4.861538462	4.576923077	0.323076923
0	0.956896552	0.75862069	14.53333333	3.902117569	8.80733945	3.69266055	0.352446483
1	0.696078431	0.759803922	18.45	1.995757517	6.181571816	3.420054201	0.567299006
0	1	0.5	8	5	2	1	1
0	1	1.25	18	1.666666667	4	5	0
0	0.972972973	1.135135135	42.5	2.044330776	25.47058824	9.411764706	0.672268908
1	0.948717949	0.846153846	25.66666667	1.664085914	6.558441558	6.064935065	0.636363636
0	0.975	1.125	21.5	1.666666667	7.534883721	4.058139535	0.627906977
1	0.912280702	0.666666667	19.4	1.829896907	6.329896907	2.87628866	0.342268041
1	0.898734177	1.075949367	23.85714286	1.340031585	9.023952096	5.131736527	0.318220701
1	0.66	0.52	15.5	4.536669925	9.141935484	2.116129032	0.575806452
0	0.91509434	0.905660377	13.46666667	4.952912269	5.034653465	4.237623762	0.322607261
0	0.927777778	0.955555556	18.05	2.385263467	10.47645429	6.20498615	0.649168975
0	1	3	4	0.333333333	1	0	0
0	1	1.6	13	1.4	2	4	0
0	1	0.941176471	18.5	1.840840841	8.27027027	3.135135135	0.522522523
1	0.9	0.633333333	16.66666667	3.277333333	7.32	3.02	0.666666667
0	1	1.04	13.75	3.926666667	6.436363636	6.618181818	0.709090909
1	0.936170213	0.936170213	18.6	1.624423963	7.021505376	3.774193548	0.47311828
1	0.829545455	0.806818182	24	2.023809524	8.255952381	5.327380952	0.517857143
0	0.95	1.1375	17.7	1.591014967	7.983050847	6.988700565	0.423728814
1	0.678362573	0.81871345	21.26666667	1.826616931	8.4169279	4.532915361	0.484064786
0	0.920245399	1.061349693	17.7	2.235569594	9.177966102	5.652542373	0.438418079
0	1	4	5	1	0	2	0
1	1	0	8	152	8	0	0
0	0.875	1.875	11.5	1.00621118	2.347826087	2.608695652	0
1	0.815789474	0.736842105	23.33333333	1.816806723	9.657142857	4.714285714	0.871428571
0	1	1.08	13.5	17.95564374	6.87037037	2.87037037	0
0	1	0.904761905	8.6	2.724806202	1.930232558	2.139534884	0.813953488
0	1	0.923076923	15.14285714	4.837907376	8.339622642	5.650943396	0.325471698
0	0.948051948	0.896103896	15.3	3.567858516	15.24183007	7.555555556	0.507625272
1	0.725274725	0.857142857	23.33333333	2.13654968	8.782857143	3.682857143	0.504761905
1	0.739795918	0.852040816	18.55	2.212043976	6.080862534	4.09703504	0.514375562
1	1	1	10	2	1	1	0.5
1	1	1.142857143	33	1.384615385	11	6	1
1	0.947368421	1.315789474	23	2.37173913	6.652173913	4	0.31884058
0	0.9	0.95	13.66666667	12.27990708	7.609756098	4.243902439	0.829268293
0	1	1	8.5	14.37647059	2.058823529	1.617647059	0.264705882
0	0.978723404	0.723404255	17.6	5.650699301	10.34090909	7.056818182	0.761363636
1	0.875	1	23.28571429	1.823838738	8.006134969	4.27607362	0.641104294
1	0.855670103	1.237113402	22.5	1.422281765	7.635555556	5.333333333	0.784
1	0.726618705	0.798561151	17.13333333	1.85660496	7.404669261	2.976653696	0.439688716
1	0.650485437	0.796116505	19.4	3.903457904	6.484536082	4.012886598	0.536082474
1	1	0.9	19	3.666666667	3	3	1
0	0	152	1	152	0	0	0
0	1	2	14.5	1.192528736	1.517241379	4.793103448	0
0	0.962962963	1.740740741	26	4.080693816	8.5	13.64102564	0
1	0.943396226	0.773584906	24	1.892361111	9.729166667	5.020833333	0.645833333
1	0.886363636	0.772727273	16.6	18.38018742	7.036144578	5.337349398	0.421686747
1	0.916666667	1.145833333	15.42857143	1.806607744	4.407407407	3.111111111	0.587962963
1	0.824561404	0.833333333	21.2	2.548027444	9.556603774	5.514150943	0.379716981
0	0.949640288	1	19.6	2.191435931	9.700680272	6.353741497	0.392517007
1	0.69058296	0.874439462	21.5	2.13769103	6.537209302	4.865116279	0.483643411
1	0.947368421	0.631578947	31	1.727272727	6	7	0.2
0	1	1.25	9	1.666666667	1	2	0.5
1	0.909090909	1.636363636	15.5	4.994623656	5.225806452	3.387096774	0
1	0.88	0.76	15.66666667	1.989361702	6.936170213	2.14893617	0.70212766
1	0.888888889	1.555555556	12.25	1.783527697	3.285714286	2.448979592	0
1	1	1.051282051	16	2.5928125	5.9375	3.9875	0.9125
1	0.808988764	0.651685393	21.28571429	3.529530201	7.255033557	3.953020134	0.858836689
1	0.703296703	0.824175824	16.8	4.558489229	9.113095238	3.851190476	0.468253968
1	0.735849057	0.674528302	24	6.39247134	8.941666667	5.269444444	0.664814815
1	0.713375796	0.700636943	13.9	2.854750226	5.938848921	2.482014388	0.34322542
1	1	0.4	8	3	3	1	1
1	1	0.473684211	30	2.375	10	4	1
0	1	0.888888889	17	1.386554622	4.411764706	3.058823529	0.470588235
1	0.765957447	0.468085106	23	1.264090177	7.710144928	3.347826087	0.31884058
1	0.939393939	1.272727273	19	2.274350649	4.131578947	5.921052632	0.796052632
1	0.925	0.9	15.6	1.894200244	3.615384615	4.641025641	0.423076923
1	0.772727273	0.863636364	35.28571429	1.630350655	14.34008097	5.659919028	0.763832659
0	0.933333333	1.133333333	16.8	1.326253683	6.869047619	3.726190476	0.303571429
1	0.765432099	0.790123457	20.13333333	1.679281094	7.539735099	3.61589404	0.548013245
0	0.950276243	0.972375691	18.55	5.862674298	12.9703504	5.345013477	0.501796945
1	1	0.75	43	1.263157895	11	8	1
0	1	1.153846154	29	1.5	4	3	0.5
1	0.866666667	1	16	2.21875	4.375	3.4375	1
0	1	1.636363636	9.666666667	0.854679803	2.448275862	2.551724138	0
0	1	0.833333333	8.5	14.94117647	2.323529412	3.117647059	0.147058824
1	0.849056604	0.509433962	16	2.024583333	8.525	1.975	0.4
1	0.75	0.630434783	22.42857143	5.115952519	8.292993631	3.872611465	0.523354565
1	0.77	0.66	16.9	4.465414073	8.25443787	2.99408284	0.573964497
0	0.972222222	0.935185185	14.4	5.538337743	5.412037037	3.199074074	0.210648148
1	0.680851064	0.778723404	21.45	4.546402335	7.335664336	3.734265734	0.558663559
1	1	0.166666667	7	6	2	1	0.333333333
1	1	0.625	13	2	5	1	0.5
0	0.962962963	0.481481481	20.5	2.140243902	9.658536585	1.219512195	0.195121951
0	1	1.272727273	8.333333333	1.138095238	2.84	0.8	0
1	0.947368421	0.631578947	15.5	2.056317204	5.806451613	2.661290323	0.685483871
1	0.725806452	0.564516129	19.4	2.117820324	6.340206186	3.371134021	0.512027491
1	0.901408451	0.563380282	16.28571429	2.300932255	6.51754386	2.149122807	0.627192982
1	0.861111111	0.824074074	20.1	2.18668562	6.676616915	3.900497512	0.407379768
1	0.860927152	0.821192053	18.8	2.230478918	6.666666667	3.982269504	0.721631206
1	0.802259887	0.971751412	18.1	5.213968812	5.602209945	4.571823204	0.364180479
0	1	0	3	152	3	0	0
1	1	0.571428571	24	2.833333333	6	4	0.333333333
1	1	0.52173913	17.5	5.730612245	10.68571429	4.857142857	0.323809524
1	0.966666667	0.766666667	18.33333333	2.306926407	5.490909091	2.672727273	0.4
1	0.891304348	0.956521739	23.5	2.169825919	8.276595745	4.957446809	0.335106383
1	0.94	0.6	16.4	15.26422764	5.097560976	3.658536585	0.595528455
1	0.945205479	0.657534247	17.71428571	2.375851254	6.701612903	3.064516129	0.515456989
1	0.823129252	0.632653061	25.5	2.416906557	11.43529412	6.345098039	0.547058824
0	0.984848485	0.96969697	9	4.416419753	3.82962963	2.592592593	0.285185185
1	0.649746193	0.954314721	19.7	1.454782668	5.840101523	4.040609137	0.526226734
1	1	0.857142857	13	1.75	3	4	0
0	1	0.285714286	9	3.5	5	1	1
1	0.923076923	0.923076923	25	2.533333333	8.08	4.04	0.66
1	1	0.764705882	20.66666667	2.037634409	5.709677419	3.870967742	0.677419355
0	1	1.212121212	19.25	4.023239918	8.779220779	8.532467532	0.220779221
1	0.777777778	1.527777778	18.6	1.254005493	3.52688172	3.623655914	0
1	0.871428571	0.328571429	13.28571429	3.283990442	12.23655914	0.752688172	0.666666667
0	0.974358974	1.025641026	16.5	3.318796944	6.848484848	3.606060606	0.284848485
1	0.775510204	0.714285714	17.06666667	5.514563041	8.515625	3.30859375	0.515625
0	0.914893617	0.994680851	19.4	1.659800924	6.551546392	5.036082474	0.492912371
1	0.888888889	0	9	152	9	0	0
0	1	1	16	1.8	1	3	1
1	1	0.944444444	18.5	2.317567568	4.513513514	3.486486486	0.385135135
1	0.92	0.84	30.66666667	2.17132107	11.31521739	4.336956522	0.604347826
0	1	1	7.5	21.17777778	3.1	0.633333333	0
0	1	0.5	5.4	19.7962963	1.740740741	1.925925926	0.185185185
0	1	0.896551724	8.142857143	12.68580542	5.912280702	6.298245614	0.171052632
0	0.926315789	0.926315789	19	13.77976608	11.49473684	7.468421053	0.607017544
1	0.681415929	1.115044248	16.33333333	7.748794947	4.881632653	4.595918367	0.43877551
1	0.75483871	0.851612903	14.7	7.658246459	5.221088435	3.581632653	0.335884354
1	1	0.866666667	57	2.25	21	6	1
1	1	1.333333333	43	1.235294118	13	7	0
1	0.96	0.32	17.5	2.662857143	8.342857143	1.914285714	0.228571429
1	1	1	12	11.11111111	5	3.444444444	0.388888889
0	0.946428571	0.839285714	26	2.063493238	10.90384615	6.009615385	0.560897436
0	1	1.666666667	9.6	1.799107143	2.083333333	2.291666667	0.333333333
0	1	0.896103896	21.71428571	3.51383357	16.21710526	6.013157895	0.434837093
1	0.827586207	0.637931034	19.4	5.175257732	9.417525773	4.170103093	0.618556701
1	0.774193548	0.961290323	22.06666667	6.226757759	8.057401813	4.81570997	0.459718026
1	0.68161435	0.766816143	20.15	2.139384864	7.339950372	4.196029777	0.779404467
1	1	1.2	11	1.75	1	2	0
1	0.833333333	0.333333333	8	3	6	0	0
0	1	0.666666667	8.5	7.588235294	3.058823529	1.235294118	0.382352941
0	0.916666667	0.833333333	7.333333333	3.045454545	2.227272727	1.818181818	0.204545455
1	0.923076923	0.788461538	24	2.844907407	7.416666667	5.9375	0.84375
1	0.925	0.575	13	16.09692308	5.353846154	1.4	0.815384615
1	0.788888889	1	26.14285714	2.577048206	10.04918033	3.382513661	0.466666667
1	0.872340426	0.989361702	19.1	1.542769883	6.015706806	4.45026178	0.369109948
0	0.957317073	1.030487805	22.53333333	2.57085564	11.02366864	5.905325444	0.454369595
0	0.95	1.025	12.7	6.415452756	4.700787402	3.216535433	0.43175853
0	0	152	3	0	0	0	0
1	1	0	7	152	7	0	0
1	0.909090909	1.272727273	13	1.257692308	2.307692308	3.307692308	0
1	0.943396226	0.566037736	28	2.070436508	11.17857143	3.857142857	0.482142857
0	1	1.15	11.75	1.904255319	3.255319149	2.255319149	0.170212766
1	0.9375	0.625	10.8	3.157407407	5.074074074	1.092592593	0.740740741
1	0.871428571	0.785714286	18.14285714	1.780314961	7.409448819	7.614173228	0.440944882
0	0.966666667	0.85	12	13.56006944	5.575	2.758333333	0.308333333
0	0.942307692	1.028846154	15.06666667	4.313644202	11.33185841	9.752212389	0.487831858
1	0.688442211	0.859296482	18.9	3.698646804	8.171957672	4.78042328	0.436948854
1	1	2	3	2	0	1	0
1	1	0.4	21	2.333333333	8	3	1
0	1	0.555555556	7	3.964285714	2.571428571	2.357142857	1
1	0.906976744	0.558139535	23	2.107867495	10.02898551	4.811594203	0.690821256
1	0.903225806	0.64516129	13.25	3.419811321	5.245283019	2	0.783018868
0	0.96875	0.84375	12	2.378888889	7.45	7.266666667	0.345833333
0	1	1.320754717	19	1.783435862	4.413533835	5.360902256	0.436090226
0	0.945945946	1.067567568	16.7	2.242586256	7.461077844	4.790419162	0.517964072
0	0.961832061	0.969465649	17.8	8.795456258	10.41198502	8.981273408	0.125468165
1	0.75862069	1.028735632	18.05	2.132728152	5.390581717	3.404432133	0.42299169
1	1	1.071428571	30	1.636363636	5	5	0.6
1	0.875	0.25	10	4	8	0	0
0	1	0.565217391	18.5	2.361486486	8.702702703	5.189189189	0
0	1	1.1	14.33333333	1.147286822	3.395348837	3.860465116	0.418604651
0	1	1.111111111	14.75	1.341037494	6.186440678	3.101694915	0.644067797
